Pontcsoport;Ár;Valuta;Mértékegység
Hazai kilépési;70,99;Ft;MJ/óra
Külföldi belépési;21,38;Ft;MJ/nap
Hazai termelői belépési;19,24;Ft;MJ/nap
Hazai tárolói belépési;12,83;Ft;MJ/nap
